date	ndv	spi	anomaly_thi	milk
1984-01-01	-1.31596741211451	0.295069574568704	-0.265961458253697	43.15483884
1984-02-01	-1.67935535580159	0.0713600255786228	-0.417058332941829	26.02388023
1984-03-01	-1.20120421901904	-0.0128529275688163	-0.610852660925789	22.19285374
1984-04-01	-1.24485118331759	0.513744245457964	-0.588036293413968	22.95871367
1984-05-01	-1.69608354317951	-0.433184136140555	-0.209840930176751	30.93089493
1984-06-01	-2.05159096396881	-1.42870610041761	0.360172763405527	57.84250401
1984-07-01	-1.08921611041746	-2.1859117239748	-0.413444047367969	42.0700145
1984-08-01	-0.673314426190609	-2.10084948204937	-0.340331738565031	39.89066627
1984-09-01	-1.00308995243975	-2.14250602974485	-0.418839125143504	36.86595122
1984-10-01	-1.33978259043452	-2.42948346228687	-0.668519495713369	34.70559793
1984-11-01	-1.14471792425663	-1.56361207251062	-0.449234361786988	37.00262663
1984-12-01	-0.704152447401934	-1.31880452377025	-0.284965621211271	37.00745803
1985-01-01	-1.04874756598048	-0.915236629551887	-0.835735284817268	35.64516718
1985-02-01	-1.49469837279428	-0.747265416149615	-0.638631662957715	23.08479886
1985-03-01	-0.600168377647787	-0.858602280112598	-0.749379578852248	20.05355892
1985-04-01	-0.192661300890197	-1.97279324408074	-0.776121756827362	20.22874919
1985-05-01	0.344419729173781	-1.0342533923451	-0.813299748453649	22.44085662
1985-06-01	0.597769351817565	-1.29446981255311	-0.290082639981567	46.20169467
1985-07-01	-1.29434739431024	-0.864947887301766	-0.910562606167979	35.22554744
1985-08-01	-1.4995670938636	-1.32060879853503	-0.661430255644711	34.82211714
1985-09-01	-0.666918759089191	-1.25606827957806	-0.596626036742642	34.35116899
1985-10-01	-0.00409922779516017	-2.09098702372112	-0.53537379328834	36.46711912
1985-11-01	0.777660785319053	-0.273240820614675	-0.508201766184513	36.30750989
1985-12-01	1.00438229731242	-1.01805905777011	-0.511495120748537	34.13971198
1986-01-01	-0.771755644954567	-1.0901261459085	-1.19809064535241	30.86929006
1986-02-01	-1.26238842995121	-1.40622720401584	-0.920997856782119	19.33932453
1986-03-01	-0.939407747143853	-0.387413956045891	-0.754814301579745	19.96962957
1986-04-01	-0.595713272760211	-1.22243030161771	-0.691955518551619	21.45037917
1986-05-01	-0.73738868992397	-1.74725294222812	-0.779220532851564	22.92031576
1986-06-01	-0.343565195241658	-1.99390280921786	-0.386575328652378	44.47429189
1986-07-01	-0.0102702206520352	-0.908111017177763	-1.27162406027751	30.25435257
1986-08-01	-0.045084277600863	-0.868792001494991	-1.04284826351939	28.80142315
1986-09-01	0.312787862459128	-0.904237693966864	-0.947927586512649	29.38203551
1986-10-01	-0.332003640846126	-0.318352150572346	-0.976552669877548	30.63031083
1986-11-01	-0.420822398516966	0.128825980453405	-1.06704609887642	29.71976782
1986-12-01	0.459044308508494	0.206870421686856	-0.880375377224936	29.46987913
1987-01-01	0.107442341259326	-0.27751345517965	-1.3319379023703	29.10517085
1987-02-01	-1.14970493703937	0.20825862493125	-1.02482765298045	17.96206392
1987-03-01	-2.23661197602623	0.288987177237433	-0.739204966751698	20.21068719
1987-04-01	-2.19656935905938	1.49581076063112	-0.817659698678009	19.62584717
1987-05-01	-1.57753978718262	0.294483481751485	-1.01871808472731	19.55083415
1987-06-01	-1.25560869137529	-0.669006920778058	-0.559635636330615	41.376183
1987-07-01	-0.607026077858862	0.573854836395245	-1.42469608952124	28.14681415
1987-08-01	-0.352558936449272	1.03036149978496	-1.16995138689305	26.79509677
1987-09-01	-0.426404247744292	0.658272063482816	-1.09262771497694	27.33526329
1987-10-01	0.107966576765676	0.367594826134653	-1.13783185458088	28.49658292
1987-11-01	0.528509862898654	1.194672926132	-1.24267149364159	27.64946893
1987-12-01	-0.148494022180862	1.21303898590858	-1.04253774069621	27.41698766
1988-01-01	0.700310615577999	0.407414588208861	-1.03015305515377	33.08272301
1988-02-01	0.304767183475127	-0.0810322196248578	-0.835544930487326	20.47282333
1988-03-01	-0.245436204039053	0.0276449330504536	-0.587619766571508	22.55164329
1988-04-01	-0.708136566675707	-0.161608954442471	-0.594142510937078	22.87008504
1988-05-01	0.189778693507235	0.554087190563956	-0.72981150456148	23.61544943
1988-06-01	0.119642514566005	0.959809336766749	-1.43706422158273	25.66854133
1988-07-01	-0.386394839024676	-0.483986724217707	-1.46618055145951	27.5756445
1988-08-01	0.164062490387675	-1.42410191194193	-0.372919901551875	39.3762612
1988-09-01	-0.792425740560512	-0.913309940745493	-1.13307150229789	26.76318902
1988-10-01	-0.299760808524352	-0.865467478133846	-1.20544630951617	27.60204188
1988-11-01	0.426653763410935	-0.510732039257637	-1.40748137827018	25.70666492
1988-12-01	0.0301330804099847	-0.695929852776927	-1.48331839347703	21.83693306
1989-01-01	-0.0553681024480578	-0.663841189790103	-1.05488892885074	32.75670191
1989-02-01	0.14021609261138	-1.03380470278057	-0.669242843155662	22.67875383
1989-03-01	0.826068050979422	-1.52076693720018	-0.688308804775144	20.9966853
1989-04-01	1.28139002923809	-1.23996347767991	-0.639321032780144	22.21434186
1989-05-01	0.915766192875715	-1.65148116332211	-0.61338656586248	25.2534273
1989-06-01	0.240962492626844	-1.47726387238764	-1.32751004183371	27.62976966
1989-07-01	-0.976407248514992	-0.917221714090279	-0.290068527559471	43.76868309
1989-08-01	-0.624760657328558	-0.356563002567049	-1.03900601506497	28.86207315
1989-09-01	0.222240501517924	-0.533104223432783	-0.989077234146984	28.7999769
1989-10-01	0.667288231999276	-0.342704469817536	-1.02916439916379	29.93425625
