"ISO","X","Y"
"DOM",-69.35,18.95
"DOM",-69.25,18.95
"DOM",-69.15,18.95
"DOM",-69.05,18.95
"DOM",-68.95,18.95
"DOM",-68.85,18.95
"DOM",-68.75,18.95
"DOM",-68.65,18.95
"DOM",-71.75,18.85
"DOM",-71.65,18.85
"DOM",-71.55,18.85
"DOM",-71.45,18.85
"DOM",-71.35,18.85
"DOM",-71.25,18.85
"DOM",-71.15,18.85
"DOM",-71.05,18.85
"DOM",-70.95,18.85
"DOM",-70.85,18.85
"DOM",-70.75,18.85
"DOM",-70.65,18.85
"DOM",-70.55,18.85
"DOM",-70.45,18.85
"DOM",-70.35,18.85
"DOM",-70.25,18.85
"DOM",-70.15,18.85
"DOM",-70.05,18.85
"DOM",-69.95,18.85
"DOM",-69.85,18.85
"DOM",-69.75,18.85
"DOM",-69.65,18.85
"DOM",-69.55,18.85
"DOM",-69.45,18.85
"DOM",-69.35,18.85
"DOM",-69.25,18.85
"DOM",-69.15,18.85
"DOM",-69.05,18.85
"DOM",-68.95,18.85
"DOM",-68.85,18.85
"DOM",-68.75,18.85
"DOM",-68.65,18.85
"DOM",-68.55,18.85
"DOM",-71.75,18.75
"DOM",-71.65,18.75
"DOM",-71.55,18.75
"DOM",-71.45,18.75
"DOM",-71.35,18.75
"DOM",-71.25,18.75
"DOM",-71.15,18.75
"DOM",-71.05,18.75
"DOM",-70.95,18.75
"DOM",-70.85,18.75
"DOM",-70.75,18.75
"DOM",-70.65,18.75
"DOM",-70.55,18.75
"DOM",-70.45,18.75
"DOM",-70.35,18.75
"DOM",-70.25,18.75
"DOM",-70.15,18.75
"DOM",-70.05,18.75
"DOM",-69.95,18.75
"DOM",-69.85,18.75
"DOM",-69.75,18.75
"DOM",-69.65,18.75
"DOM",-69.55,18.75
"DOM",-69.45,18.75
"DOM",-69.35,18.75
"DOM",-69.25,18.75
"DOM",-69.15,18.75
"DOM",-69.05,18.75
"DOM",-68.95,18.75
"DOM",-68.85,18.75
"DOM",-68.75,18.75
"DOM",-68.65,18.75
"DOM",-68.55,18.75
"DOM",-68.45,18.75
"DOM",-72.05,18.65
"DOM",-71.95,18.65
"DOM",-71.85,18.65
"DOM",-71.75,18.65
"DOM",-71.65,18.65
"DOM",-71.55,18.65
"DOM",-71.45,18.65
"DOM",-71.35,18.65
"DOM",-71.25,18.65
"DOM",-71.15,18.65
"DOM",-71.05,18.65
"DOM",-70.95,18.65
"DOM",-70.85,18.65
"DOM",-70.75,18.65
"DOM",-70.65,18.65
"DOM",-70.55,18.65
"DOM",-70.45,18.65
"DOM",-70.35,18.65
"DOM",-70.25,18.65
"DOM",-70.15,18.65
"DOM",-70.05,18.65
"DOM",-69.95,18.65
"DOM",-69.85,18.65
"DOM",-69.75,18.65
"DOM",-69.65,18.65
"DOM",-69.55,18.65
"DOM",-69.45,18.65
"DOM",-69.35,18.65
"DOM",-69.25,18.65
"DOM",-69.15,18.65
"DOM",-69.05,18.65
"DOM",-68.95,18.65
"DOM",-68.85,18.65
"DOM",-68.75,18.65
"DOM",-68.65,18.65
"DOM",-68.55,18.65
"DOM",-68.45,18.65
"DOM",-68.35,18.65
"DOM",-71.95,18.55
"DOM",-71.85,18.55
"DOM",-71.75,18.55
"DOM",-71.65,18.55
"DOM",-71.55,18.55
"DOM",-71.45,18.55
"DOM",-71.35,18.55
"DOM",-71.25,18.55
"DOM",-71.15,18.55
"DOM",-71.05,18.55
"DOM",-70.95,18.55
"DOM",-70.85,18.55
"DOM",-70.75,18.55
"DOM",-70.65,18.55
"DOM",-70.55,18.55
"DOM",-70.45,18.55
"DOM",-70.35,18.55
"DOM",-70.25,18.55
"DOM",-70.15,18.55
"DOM",-70.05,18.55
"DOM",-69.95,18.55
"DOM",-69.85,18.55
"DOM",-69.75,18.55
"DOM",-69.65,18.55
"DOM",-69.55,18.55
"DOM",-69.45,18.55
"DOM",-69.35,18.55
"DOM",-69.25,18.55
