Year	Week	CHIRPS	CMORPH	GSMAP	PERSIANN	IMERG	CCS	SM1 Mean	SM2 Mean	SM3 Mean	SM4 Mean	mean_VHI	Event	Event_PDSI
1981	24	1.04145531400966	NA	NA	NA	NA	NA	0.221188603157368	0.241692015061549	0.252808543562099	0.240750593404685	NA	0	0
1981	25	1.08709541062802	NA	NA	NA	NA	NA	0.221123562980247	0.226998683961572	0.24541276819598	0.240199018322996	NA	0	0
1981	26	1.2748731884058	NA	NA	NA	NA	NA	0.24785560506957	0.241126636081646	0.243475824667481	0.239942639273192	NA	0	0
1981	27	1.3198309178744	NA	NA	NA	NA	NA	0.259475669102173	0.260354617485599	0.248592849607042	0.242066181004047	NA	0	0
1981	28	1.2863768115942	NA	NA	NA	NA	NA	0.245070664806967	0.248922198601532	0.246560390739509	0.241875430595662	NA	0	0
1981	29	1.25292270531401	NA	NA	NA	NA	NA	0.254257897427488	0.250300373929526	0.24440526217303	0.24161003655621	NA	0	0
1981	30	1.23867149758454	NA	NA	NA	NA	NA	0.246565548778959	0.248859166300914	0.246666588834487	0.24155831801572	NA	0	0
1981	31	1.20419685990338	NA	NA	NA	NA	NA	0.21981930853405	0.23136202934123	0.243069509294806	0.241340768310641	NA	0	0
1981	32	1.2369806763285	NA	NA	NA	NA	NA	0.220159014641337	0.225122614352962	0.239908807198325	0.240895771996251	NA	0	0
1981	33	1.35455917874396	NA	NA	NA	NA	NA	0.256975868565636	0.247514402534619	0.241516378873229	0.240605337694287	NA	0	0
1981	34	1.35061594202899	NA	NA	NA	NA	NA	0.244658757584745	0.241463947234685	0.240071455117441	0.240397970990411	NA	0	0
1981	35	1.20604468599034	NA	NA	NA	NA	NA	0.22409268302139	0.233356566673478	0.239665860615194	0.240139156814132	57.4160011743981	0	0
1981	36	1.26013285024155	NA	NA	NA	NA	NA	0.216082621741343	0.220194227470969	0.236049647000347	0.239641847679658	57.9019083969466	0	0
1981	37	1.20492149758454	NA	NA	NA	NA	NA	0.227745634188896	0.223450967343145	0.233064790518088	0.239083766357175	58.3178919553729	0	0
1981	38	1.0743115942029	NA	NA	NA	NA	NA	0.21206649045465	0.215253678249288	0.230363384470882	0.238433619104326	58.8585907222548	0	0
1981	39	1.19993961352657	NA	NA	NA	NA	NA	0.239848327497135	0.229496531576273	0.229229388951653	0.237817048180316	58.2128655314151	0	0
1981	40	1.485	NA	NA	NA	NA	NA	0.24217949414561	0.235696247772111	0.230944662026272	0.237312991246581	57.1292483852026	0	0
1981	41	1.41335748792271	NA	NA	NA	NA	NA	0.258540946089978	0.249052729515763	0.234010850097512	0.236982133037278	57.0591015854375	0	0
1981	42	1.38003623188406	NA	NA	NA	NA	NA	0.265572008169932	0.258265428536444	0.238708314532893	0.237085629504706	56.601426893717	0	0
1981	43	0.994462560386473	NA	NA	NA	NA	NA	0.26584816432007	0.25985094726944	0.240696375866617	0.237282787529486	56.4420845566647	0	0
1981	44	0.963182367149758	NA	NA	NA	NA	NA	0.28118364884759	0.272924303768881	0.245135504676295	0.237578002363443	56.5731297709924	0	0
1981	45	0.87719806763285	NA	NA	NA	NA	NA	0.275374113818894	0.273241792979676	0.252824747411136	0.238934126719832	57.6567880211392	0	0
1981	46	0.667095410628019	NA	NA	NA	NA	NA	0.252996651546425	0.256198165200857	0.250410806584298	0.239902837776712	58.8489724016442	0	0
1981	47	0.662113526570048	NA	NA	NA	NA	NA	0.244822334368451	0.248853711193317	0.246969217537641	0.239961974684681	59.3898590722255	0	0
1981	48	0.751038647342995	NA	NA	NA	NA	NA	0.221842537665468	0.234644522830512	0.242169399770243	0.239736493751407	59.4180152671756	0	0
1981	49	0.688707729468599	NA	NA	NA	NA	NA	0.21810753795265	0.224598596415538	0.237938514619937	0.239353504159621	60.0397416324134	0	0
1981	50	0.71868961352657	NA	NA	NA	NA	NA	0.252872507011627	0.24143517590173	0.236745388100117	0.238965056405536	62.0219377568996	0	0
1981	51	0.610187198067633	NA	NA	NA	NA	NA	0.225688788699923	0.232250085713046	0.236559543811387	0.238690010287932	62.0391250733999	0	0
1981	52	0.551998792270531	NA	NA	NA	NA	NA	0.22776583427533	0.228566958390449	0.233903037490923	0.238324539118579	60.3445684086905	0	0
1982	1	0.485791062801932	NA	NA	NA	NA	NA	0.223409893306315	0.233111511622751	0.237537456935082	0.238235341055053	60.1193540810335	0	0
1982	2	0.492530193236715	NA	NA	NA	NA	NA	0.208956910798735	0.219966481390697	0.233784050968733	0.238025855560388	59.3107046388726	0	0
1982	3	0.441207729468599	NA	NA	NA	NA	NA	0.189094686423632	0.208778835161611	0.230224054642383	0.237594622410834	58.3773928361715	0	0
1982	4	0.29536231884058	NA	NA	NA	NA	NA	0.191759938012644	0.204381877533224	0.227909138566326	0.237084590233862	57.4388490898415	0	0
1982	5	0.153031400966184	NA	NA	NA	NA	NA	0.225688409155187	0.218564954280253	0.229493456035019	0.236713062535439	57.4367175572519	0	0
1982	6	0.134390096618357	NA	NA	NA	NA	NA	0.225684569273489	0.226882002003947	0.233407874317134	0.236885714706566	58.1568878449795	0	0
1982	7	0.275144927536232	NA	NA	NA	NA	NA	0.212423105839983	0.220328983562335	0.231898445228217	0.236870724069221	58.4139401056958	0	0
1982	8	0.167602657004831	NA	NA	NA	NA	NA	0.200957634411751	0.210133111648229	0.229201274592081	0.236599657115127	57.554339401057	0	0
1982	9	0.282904589371981	NA	NA	NA	NA	NA	0.187226660841734	0.201203340468408	0.226179658938916	0.236081637990262	55.9934116265414	0	0
