Year	Week	CHIRPS	CMORPH	GSMAP	PERSIANN	IMERG	CCS	SM1 Mean	SM2 Mean	SM3 Mean	SM4 Mean	Event	Event_PDSI
1981	4	0.941600241545894	NA	NA	NA	NA	NA	0.206568614840914	0.210979317960305	0.223053048685997	0.239607153774372	0	0
1981	5	0.917155797101449	NA	NA	NA	NA	NA	0.204638464150108	0.209731046410399	0.221098799250015	0.239145717290895	0	0
1981	6	0.931986714975845	NA	NA	NA	NA	NA	0.187384281662141	0.202876283435756	0.220060077133791	0.238608118513865	0	0
1981	7	1.15816425120773	NA	NA	NA	NA	NA	0.186748973563999	0.195877715829325	0.216612325389997	0.238020456018192	0	0
1981	8	0.979335748792271	NA	NA	NA	NA	NA	0.19949766151384	0.198639262474029	0.215577936191909	0.237451602992203	0	0
1981	9	0.851775362318841	NA	NA	NA	NA	NA	0.180486417832271	0.192951890622944	0.214431993657451	0.236860891048397	0	0
1981	10	0.91707729468599	NA	NA	NA	NA	NA	0.184992343130678	0.192055036163177	0.214734752942151	0.236246136804777	0	0
1981	11	0.868303140096618	NA	NA	NA	NA	NA	0.176700341727813	0.188916997664309	0.215532547152661	0.235576744095555	0	0
1981	12	0.609269323671498	NA	NA	NA	NA	NA	0.186465498782373	0.18827227599453	0.21389239362614	0.234938889757863	0	0
1981	13	0.48673309178744	NA	NA	NA	NA	NA	0.231467785627343	0.211532684603236	0.218094694407373	0.235488505650844	0	0
1981	14	0.446968599033816	NA	NA	NA	NA	NA	0.203200041491897	0.207037308065298	0.216379190802048	0.235834478299533	0	0
1981	15	0.242693236714976	NA	NA	NA	NA	NA	0.196199116845344	0.205055810340348	0.214380531363848	0.235435995422304	0	0
1981	16	-0.0426268115942029	NA	NA	NA	NA	NA	0.178749009438602	0.19434730913509	0.211279694267959	0.23492723725204	0	0
1981	17	0.0848309178743961	NA	NA	NA	NA	NA	0.198602772658251	0.195505252991902	0.211457862412889	0.234224552538778	0	0
1981	18	0.175996376811594	NA	NA	NA	NA	NA	0.252606480820825	0.233918787541174	0.21832221358455	0.234189671576023	0	0
1981	19	0.794329710144927	NA	NA	NA	NA	NA	0.276435523064227	0.255527145877802	0.22433370197976	0.234921285531351	0	0
1981	20	1.16102657004831	NA	NA	NA	NA	NA	0.279728708186239	0.272473270694511	0.232592011291335	0.235480086659746	0	0
1981	21	1.11238526570048	NA	NA	NA	NA	NA	0.287693090042231	0.283209846480026	0.245923983616892	0.236810913389283	0	0
1981	22	1.22006642512077	NA	NA	NA	NA	NA	0.276529089230807	0.277639989133015	0.253009699226824	0.238675526641309	0	0
1981	23	0.871298309178744	NA	NA	NA	NA	NA	0.270463523464054	0.273732712086444	0.258738451337442	0.240083438754082	0	0
1981	24	0.415585748792271	NA	NA	NA	NA	NA	0.221188603157368	0.241692015061549	0.252808543562099	0.240750593404685	0	0
1981	25	0.687971014492754	NA	NA	NA	NA	NA	0.221123562980247	0.226998683961572	0.24541276819598	0.240199018322996	0	0
1981	26	1.13792874396135	NA	NA	NA	NA	NA	0.24785560506957	0.241126636081646	0.243475824667481	0.239942639273192	0	0
1981	27	1.14749396135266	NA	NA	NA	NA	NA	0.259475669102173	0.260354617485599	0.248592849607042	0.242066181004047	0	0
1981	28	1.6582306763285	NA	NA	NA	NA	NA	0.245070664806967	0.248922198601532	0.246560390739509	0.241875430595662	0	0
1981	29	1.5837922705314	NA	NA	NA	NA	NA	0.254257897427488	0.250300373929526	0.24440526217303	0.24161003655621	0	0
1981	30	0.578472222222222	NA	NA	NA	NA	NA	0.246565548778959	0.248859166300914	0.246666588834487	0.24155831801572	0	0
1981	31	0.406678743961353	NA	NA	NA	NA	NA	0.21981930853405	0.23136202934123	0.243069509294806	0.241340768310641	0	0
1981	32	0.812596618357488	NA	NA	NA	NA	NA	0.220159014641337	0.225122614352962	0.239908807198325	0.240895771996251	0	0
1981	33	1.06270531400966	NA	NA	NA	NA	NA	0.256975868565636	0.247514402534619	0.241516378873229	0.240605337694287	0	0
1981	34	1.04141304347826	NA	NA	NA	NA	NA	0.244658757584745	0.241463947234685	0.240071455117441	0.240397970990411	0	0
1981	35	0.496479468599034	NA	NA	NA	NA	NA	0.22409268302139	0.233356566673478	0.239665860615194	0.240139156814132	0	0
1981	36	0.292910628019324	NA	NA	NA	NA	NA	0.216082621741343	0.220194227470969	0.236049647000347	0.239641847679658	0	0
1981	37	-0.491696859903382	NA	NA	NA	NA	NA	0.227745634188896	0.223450967343145	0.233064790518088	0.239083766357175	0	0
1981	38	-0.767814009661836	NA	NA	NA	NA	NA	0.21206649045465	0.215253678249288	0.230363384470882	0.238433619104326	0	0
1981	39	-0.17951690821256	NA	NA	NA	NA	NA	0.239848327497135	0.229496531576273	0.229229388951653	0.237817048180316	0	0
1981	40	0.206678743961353	NA	NA	NA	NA	NA	0.24217949414561	0.235696247772111	0.230944662026272	0.237312991246581	0	0
1981	41	0.588544685990338	NA	NA	NA	NA	NA	0.258540946089978	0.249052729515763	0.234010850097512	0.236982133037278	0	0
1981	42	0.956714975845411	NA	NA	NA	NA	NA	0.265572008169932	0.258265428536444	0.238708314532893	0.237085629504706	0	0
1981	43	0.37643115942029	NA	NA	NA	NA	NA	0.26584816432007	0.25985094726944	0.240696375866617	0.237282787529486	0	0
1981	44	0.304830917874396	NA	NA	NA	NA	NA	0.28118364884759	0.272924303768881	0.245135504676295	0.237578002363443	0	0
1981	45	0.100960144927536	NA	NA	NA	NA	NA	0.275374113818894	0.273241792979676	0.252824747411136	0.238934126719832	0	0
