date	ndv	spi	anomaly_thi	milk
1982-01-01	-0.686612497480713	0.745286766654868	-0.893666635291702	1837.46
1982-02-01	-0.640798912498267	-0.32668293596005	-0.325071739753085	1745.83
1982-03-01	-0.592000296275893	-0.734931809374211	-0.0384145540358367	2093.68
1982-04-01	-0.409195115041009	-0.936276963842679	-1.14832965277585	2146.22
1982-05-01	-0.607495005065699	-0.173540659621967	-0.356605133258044	2324.37
1982-06-01	-0.449920807121971	0.0641756184360363	0.167826500288134	2182.09
1982-07-01	-0.43328632592183	-0.144887379020582	0.382716281632784	2152.7
1982-08-01	-0.320929860540094	-0.128553309472895	-0.269246646598385	1953.85
1982-09-01	-0.454430050736956	-1.13691048114112	1.28559656331049	1807.61
1982-10-01	-0.771040436959469	-0.283227778207921	-0.0274794060136163	1802.41
1982-11-01	-0.763160482013711	-0.759144352791964	0.621346681525292	1744
1982-12-01	-0.766664694506096	0.156333210923935	0.0016162958373244	1879.53
1983-01-01	-0.13611258281603	0.125049468356611	1.11017740781623	2000.04
1983-02-01	-0.361969333882867	0.528456333225154	-0.981648000540534	1882.51
1983-03-01	-0.467652031148177	0.41930400139377	-0.126741524915449	2236.82
1983-04-01	-0.56292483029238	0.880442678112506	-0.219044645431294	2313.12
1983-05-01	-0.300892764640483	1.76043268145234	-1.13983340641527	2488.05
1983-06-01	-0.563268425045394	1.45843924450709	0.0878918940679464	2267.66
1983-07-01	-0.417967032508882	-0.252131089857252	1.12280309207485	2255.7
1983-08-01	-0.489350067510686	-1.85608577042736	0.288090733128248	2075.67
1983-09-01	-0.881105840676658	-1.26778372853658	-0.0240237328371611	1888.02
1983-10-01	-1.15128651833529	-0.594304252311727	-0.225620272112221	1943.55
1983-11-01	-1.01909912039903	-0.419533467603034	-0.670317862075739	1855.36
1983-12-01	-0.436160179855616	-0.797150127409307	-0.427218093553632	1969.3
1984-01-01	-0.730316903431561	0.184473289607206	0.0412167430255101	2087.63
1984-02-01	-0.113160942051433	0.563640936975978	-0.629717304088804	2028.54
1984-03-01	-0.561416682214423	0.193788920711827	-1.01231349581711	2299.78
1984-04-01	-0.685105434555391	-0.606942077689558	-0.956204126162326	2303.7
1984-05-01	-1.18298926840141	0.000853897069167787	-1.4525946585293	2446.99
1984-06-01	-1.32482160475796	0.732021225427762	-1.51468578311361	2185.6
1984-07-01	-0.888152172941249	0.700553973570348	-1.50314524627492	2108.06
1984-08-01	-0.473083973102885	-0.152849543237733	-0.451387748220498	1936
1984-09-01	-0.0194335843835054	0.526716931666294	-1.04236551515685	1721.16
1984-10-01	-0.030549811406121	0.707871562023195	0.393884167409777	1739.97
1984-11-01	-0.351374569876388	0.671761510128665	0.217008594580813	1665.62
1984-12-01	-0.143132868901982	-0.983290543046924	-0.501140177101397	1780.68
1985-01-01	-0.828618801268573	-1.12654345983462	-2.50850226517851	1863.6
1985-02-01	-0.725318008150101	-1.54216367728622	-1.31018483757461	1751.47
1985-03-01	-1.04839416270525	-0.668522325946023	-0.965732075356253	2040.17
1985-04-01	-0.842112889570258	-0.0281874201505524	-0.690043339288949	2109.43
1985-05-01	-1.25799948705191	0.456144476843069	0.158837501219652	2287.24
1985-06-01	-0.914347053009833	1.00254297368844	-1.62598798714695	2146.89
1985-07-01	-0.253044798008914	0.501526233295656	-0.524531569654302	2143.87
1985-08-01	-0.185055663893846	0.44840724409953	-1.0450064137848	1995.41
1985-09-01	-0.0790052144774095	-0.179102101968088	-0.206593276303382	1834.57
1985-10-01	0.055676731712331	-0.9158709546829	-0.409999605727924	1863.3
1985-11-01	0.143262074577664	-1.0476547143789	-2.26476989299295	1735.44
1985-12-01	-0.170266282203419	-0.729088944604251	0.702241753048001	1865.38
1986-01-01	-0.92692070331241	0.788449882151246	-0.355624405317905	1944.51
1986-02-01	-0.488765089824676	0.0676577461221734	-2.60765202040521	1773.09
1986-03-01	-0.664510283724998	0.203874306539048	-0.772358030137965	2019.73
1986-04-01	-0.670109953243148	-0.0176391692915255	-1.63109226783224	2170.95
1986-05-01	-1.33300970506124	0.897402125949517	0.646290701417085	2345.35
1986-06-01	-1.44480239092831	0.701606867892332	-0.136102764450791	2209.03
1986-07-01	-1.08764383364398	0.195906347188824	-0.712438884223963	2217.66
1986-08-01	-0.592706369258601	0.180711200156404	-1.11411534807344	2045.98
1986-09-01	-0.534749713726342	-0.00636883132504787	-1.63505054436312	1895.07
1986-10-01	-0.406012771606942	0.275946019264215	0.0643596416618363	1927.2
1986-11-01	-0.10220313809678	-0.343578358653458	0.619625065763886	1779.2
1986-12-01	-0.0953742073918075	0.540401937658116	-0.0991400357738828	1868.23
1987-01-01	-1.04887121514714	0.335131132677608	-2.58396502300072	1895.61
1987-02-01	-0.838170023592697	0.872704861376235	-0.642416087289019	1721.88
1987-03-01	-0.904223510218964	0.351218653791655	-2.25024198705385	1904.67
1987-04-01	-1.03278088062	0.254184412742874	0.215076463095507	2049.64
1987-05-01	-1.15946298736239	0.465003177174688	-2.11933839234504	2241.97
1987-06-01	-0.951424125719561	1.03600269545873	-1.4186704918624	2064.43
1987-07-01	-0.626134743264464	1.34718499312141	-0.787627556288609	1963.89
1987-08-01	-0.132798207591281	1.08436359081304	-1.6346472734097	1838.27
1987-09-01	0.0177196705410483	0.760018627425481	0.4547945491284	1658.96
1987-10-01	-0.188769106045639	0.267619708204272	-0.113062411304148	1684.91
1987-11-01	-0.305657372836405	0.330123727208904	-0.151915471648419	1542.25
1987-12-01	-0.606803317361151	-0.399211059825061	-0.0427769951466161	1614.86
