"","ISO","X","Y"
"131","DOM","-70.173809038","18.338387652"
"132","DOM","-70.101052369","18.338387652"
"133","DOM","-70.0282957","18.338387652"
"134","DOM","-69.009702334","18.338387652"
"135","DOM","-68.864188996","18.338387652"
"136","DOM","-68.7914323270001","18.338387652"
"137","DOM","-68.7186756580001","18.338387652"
"138","DOM","-68.6459189890001","18.338387652"
"139","DOM","-68.5731623200001","18.338387652"
"140","DOM","-68.5004056510001","18.338387652"
"141","DOM","-68.4276489820001","18.338387652"
"142","DOM","-71.847212425","18.411159029"
"143","DOM","-71.774455756","18.411159029"
"144","DOM","-71.701699087","18.411159029"
"145","DOM","-71.628942418","18.411159029"
"146","DOM","-71.556185749","18.411159029"
"147","DOM","-71.48342908","18.411159029"
"148","DOM","-71.410672411","18.411159029"
"149","DOM","-71.337915742","18.411159029"
"150","DOM","-71.265159073","18.411159029"
"151","DOM","-71.192402404","18.411159029"
"152","DOM","-71.119645735","18.411159029"
"153","DOM","-71.046889066","18.411159029"
"154","DOM","-70.974132397","18.411159029"
"155","DOM","-70.901375728","18.411159029"
"156","DOM","-70.828619059","18.411159029"
"157","DOM","-70.75586239","18.411159029"
"158","DOM","-70.683105721","18.411159029"
"159","DOM","-70.610349052","18.411159029"
"160","DOM","-70.537592383","18.411159029"
"161","DOM","-70.464835714","18.411159029"
"162","DOM","-70.392079045","18.411159029"
"163","DOM","-70.319322376","18.411159029"
"164","DOM","-70.246565707","18.411159029"
"165","DOM","-70.173809038","18.411159029"
"166","DOM","-70.101052369","18.411159029"
"167","DOM","-70.0282957","18.411159029"
"168","DOM","-69.955539031","18.411159029"
"169","DOM","-69.664512355","18.411159029"
"170","DOM","-69.591755686","18.411159029"
"171","DOM","-69.518999017","18.411159029"
"172","DOM","-69.446242348","18.411159029"
"173","DOM","-69.373485679","18.411159029"
"174","DOM","-69.30072901","18.411159029"
"175","DOM","-69.227972341","18.411159029"
"176","DOM","-69.155215672","18.411159029"
"177","DOM","-69.082459003","18.411159029"
"178","DOM","-69.009702334","18.411159029"
"179","DOM","-68.936945665","18.411159029"
"180","DOM","-68.864188996","18.411159029"
"181","DOM","-68.7914323270001","18.411159029"
"182","DOM","-68.7186756580001","18.411159029"
"183","DOM","-68.6459189890001","18.411159029"
"184","DOM","-68.5731623200001","18.411159029"
"185","DOM","-68.5004056510001","18.411159029"
"186","DOM","-68.4276489820001","18.411159029"
"187","DOM","-71.919969094","18.483930406"
"188","DOM","-71.847212425","18.483930406"
"189","DOM","-71.774455756","18.483930406"
"190","DOM","-71.701699087","18.483930406"
"191","DOM","-71.6289424180001","18.483930406"
"192","DOM","-71.556185749","18.483930406"
"193","DOM","-71.4834290800001","18.483930406"
"194","DOM","-71.410672411","18.483930406"
"195","DOM","-71.337915742","18.483930406"
"196","DOM","-71.265159073","18.483930406"
"197","DOM","-71.192402404","18.483930406"
"198","DOM","-71.119645735","18.483930406"
"199","DOM","-71.046889066","18.483930406"
"200","DOM","-70.974132397","18.483930406"
"201","DOM","-70.901375728","18.483930406"
"202","DOM","-70.828619059","18.483930406"
"203","DOM","-70.75586239","18.483930406"
"204","DOM","-70.683105721","18.483930406"
"205","DOM","-70.610349052","18.483930406"
"206","DOM","-70.537592383","18.483930406"
"207","DOM","-70.464835714","18.483930406"
"208","DOM","-70.392079045","18.483930406"
"209","DOM","-70.319322376","18.483930406"
"210","DOM","-70.246565707","18.483930406"
"211","DOM","-70.173809038","18.483930406"
"212","DOM","-70.101052369","18.483930406"
"213","DOM","-70.0282957","18.483930406"
"214","DOM","-69.955539031","18.483930406"
"215","DOM","-69.882782362","18.483930406"
"216","DOM","-69.810025693","18.483930406"
"217","DOM","-69.737269024","18.483930406"
"218","DOM","-69.664512355","18.483930406"
"219","DOM","-69.591755686","18.483930406"
"220","DOM","-69.518999017","18.483930406"
"221","DOM","-69.446242348","18.483930406"
"222","DOM","-69.373485679","18.483930406"
"223","DOM","-69.30072901","18.483930406"
"224","DOM","-69.227972341","18.483930406"
"225","DOM","-69.155215672","18.483930406"
"226","DOM","-69.082459003","18.483930406"
"227","DOM","-69.009702334","18.483930406"
"228","DOM","-68.936945665","18.483930406"
"229","DOM","-68.864188996","18.483930406"
"230","DOM","-68.7914323270001","18.483930406"
"231","DOM","-68.7186756580001","18.483930406"
"232","DOM","-68.6459189890001","18.483930406"
"233","DOM","-68.5731623200001","18.483930406"
"234","DOM","-68.5004056510001","18.483930406"
"235","DOM","-68.4276489820001","18.483930406"
"236","DOM","-68.354892313","18.483930406"
"237","DOM","-71.919969094","18.556701783"
"238","DOM","-71.847212425","18.556701783"
"239","DOM","-71.774455756","18.556701783"
"240","DOM","-71.701699087","18.556701783"
"241","DOM","-71.628942418","18.556701783"
"242","DOM","-71.556185749","18.556701783"
"243","DOM","-71.48342908","18.556701783"
"244","DOM","-71.410672411","18.556701783"
"245","DOM","-71.337915742","18.556701783"
"246","DOM","-71.265159073","18.556701783"
"247","DOM","-71.192402404","18.556701783"
"248","DOM","-71.119645735","18.556701783"
"249","DOM","-71.046889066","18.556701783"
"250","DOM","-70.974132397","18.556701783"
"251","DOM","-70.901375728","18.556701783"
"252","DOM","-70.828619059","18.556701783"
"253","DOM","-70.75586239","18.556701783"
"254","DOM","-70.683105721","18.556701783"
"255","DOM","-70.610349052","18.556701783"
"256","DOM","-70.537592383","18.556701783"
"257","DOM","-70.464835714","18.556701783"
"258","DOM","-70.392079045","18.556701783"
"259","DOM","-70.319322376","18.556701783"
"260","DOM","-70.246565707","18.556701783"
"261","DOM","-70.173809038","18.556701783"
"262","DOM","-70.101052369","18.556701783"
"263","DOM","-70.0282957","18.556701783"
"264","DOM","-69.955539031","18.556701783"
"265","DOM","-69.882782362","18.556701783"
"266","DOM","-69.810025693","18.556701783"
"267","DOM","-69.737269024","18.556701783"
"268","DOM","-69.664512355","18.556701783"
"269","DOM","-69.591755686","18.556701783"
"270","DOM","-69.518999017","18.556701783"
"271","DOM","-69.446242348","18.556701783"
"272","DOM","-69.373485679","18.556701783"
"273","DOM","-69.30072901","18.556701783"
"274","DOM","-69.227972341","18.556701783"
"275","DOM","-69.155215672","18.556701783"
"276","DOM","-69.082459003","18.556701783"
"277","DOM","-69.009702334","18.556701783"
"278","DOM","-68.936945665","18.556701783"
"279","DOM","-68.864188996","18.556701783"
"280","DOM","-68.7914323270001","18.556701783"
"281","DOM","-68.7186756580001","18.556701783"
"282","DOM","-68.6459189890001","18.556701783"
"283","DOM","-68.5731623200001","18.556701783"
"284","DOM","-68.5004056510001","18.556701783"
"285","DOM","-68.4276489820001","18.556701783"
"286","DOM","-68.3548923130001","18.556701783"
"287","DOM","-71.992725763","18.62947316"
"288","DOM","-71.919969094","18.62947316"
"289","DOM","-71.847212425","18.62947316"
