"ISO","X","Y"
"DOM",-71.0249998809885,19.924999983875
"DOM",-71.6249998899423,19.874999983125
"DOM",-71.5749998891962,19.874999983125
"DOM",-71.52499988845,19.874999983125
"DOM",-71.4749998877038,19.874999983125
"DOM",-71.4249998869577,19.874999983125
"DOM",-71.0749998817346,19.874999983125
"DOM",-71.0249998809885,19.874999983125
"DOM",-70.9749998802423,19.874999983125
"DOM",-70.9249998794962,19.874999983125
"DOM",-70.87499987875,19.874999983125
"DOM",-70.8249998780039,19.874999983125
"DOM",-71.6749998906885,19.824999982375
"DOM",-71.6249998899423,19.824999982375
"DOM",-71.5749998891962,19.824999982375
"DOM",-71.52499988845,19.824999982375
"DOM",-71.4749998877038,19.824999982375
"DOM",-71.4249998869577,19.824999982375
"DOM",-71.3749998862115,19.824999982375
"DOM",-71.3249998854654,19.824999982375
"DOM",-71.2749998847192,19.824999982375
"DOM",-71.2249998839731,19.824999982375
"DOM",-71.1749998832269,19.824999982375
"DOM",-71.1249998824808,19.824999982375
"DOM",-71.0749998817346,19.824999982375
"DOM",-71.0249998809885,19.824999982375
"DOM",-70.9749998802423,19.824999982375
"DOM",-70.9249998794962,19.824999982375
"DOM",-70.87499987875,19.824999982375
"DOM",-70.8249998780039,19.824999982375
"DOM",-70.7749998772577,19.824999982375
"DOM",-71.7749998921808,19.774999981625
"DOM",-71.7249998914346,19.774999981625
"DOM",-71.6749998906885,19.774999981625
"DOM",-71.6249998899423,19.774999981625
"DOM",-71.5749998891962,19.774999981625
"DOM",-71.52499988845,19.774999981625
"DOM",-71.4749998877038,19.774999981625
"DOM",-71.4249998869577,19.774999981625
"DOM",-71.3749998862115,19.774999981625
"DOM",-71.3249998854654,19.774999981625
"DOM",-71.2749998847192,19.774999981625
"DOM",-71.2249998839731,19.774999981625
"DOM",-71.1749998832269,19.774999981625
"DOM",-71.1249998824808,19.774999981625
"DOM",-71.0749998817346,19.774999981625
"DOM",-71.0249998809885,19.774999981625
"DOM",-70.9749998802423,19.774999981625
"DOM",-70.9249998794962,19.774999981625
"DOM",-70.87499987875,19.774999981625
"DOM",-70.8249998780039,19.774999981625
"DOM",-70.7749998772577,19.774999981625
"DOM",-70.7249998765115,19.774999981625
"DOM",-70.6749998757654,19.774999981625
"DOM",-70.4749998727808,19.774999981625
"DOM",-71.7249998914346,19.724999980875
"DOM",-71.6749998906885,19.724999980875
"DOM",-71.6249998899423,19.724999980875
"DOM",-71.5749998891962,19.724999980875
"DOM",-71.52499988845,19.724999980875
"DOM",-71.4749998877038,19.724999980875
"DOM",-71.4249998869577,19.724999980875
"DOM",-71.3749998862115,19.724999980875
"DOM",-71.3249998854654,19.724999980875
"DOM",-71.2749998847192,19.724999980875
"DOM",-71.2249998839731,19.724999980875
"DOM",-71.1749998832269,19.724999980875
"DOM",-71.1249998824808,19.724999980875
"DOM",-71.0749998817346,19.724999980875
"DOM",-71.0249998809885,19.724999980875
"DOM",-70.9749998802423,19.724999980875
"DOM",-70.9249998794962,19.724999980875
"DOM",-70.87499987875,19.724999980875
"DOM",-70.8249998780039,19.724999980875
"DOM",-70.7749998772577,19.724999980875
"DOM",-70.7249998765115,19.724999980875
"DOM",-70.6749998757654,19.724999980875
"DOM",-70.6249998750192,19.724999980875
"DOM",-70.5749998742731,19.724999980875
"DOM",-70.5249998735269,19.724999980875
"DOM",-70.4749998727808,19.724999980875
"DOM",-70.4249998720346,19.724999980875
"DOM",-71.7249998914346,19.674999980125
"DOM",-71.6749998906885,19.674999980125
"DOM",-71.6249998899423,19.674999980125
"DOM",-71.5749998891962,19.674999980125
"DOM",-71.52499988845,19.674999980125
"DOM",-71.4749998877038,19.674999980125
