Date	SM1	SM2	SM3	SM4	CCS	IMERG	PERSIANN	GSMAP	CHIRPS	CMORPH	Output
2003-01-04	0.184846735001335	0.192665113493886	0.205618845628944	0.202955093681812	14.748659749581	0	0	0	0	46.709979267823	0
2003-01-05	0.181974184207575	0.191752729946094	0.20589470575633	0.202927308939397	101.020008282489	0	0	2.79813049769864	0	66.5021152645829	0
2003-01-06	0.177869914155476	0.190274910534933	0.205890940258111	0.202893090173602	44.1319248442163	0	0	0.331700392901112	0	30.3329382873738	0
2003-01-07	0.177580621753334	0.189190422435827	0.205502011073859	0.202862531989813	54.1642507604549	0.733060512568438	0	4.94913689176892	0	28.9253055135705	0
2003-01-08	0.188430819419006	0.189702777680484	0.205551085528224	0.202837588489056	0	0.192793663803444	0	2.97577302708599	0	10.2381852280205	0
2003-01-09	0.201986539547627	0.192407041312572	0.20573691120395	0.202820163592696	0	0.0025779271438679	0	1.84200021039973	0	4.02524161353558	0
2003-01-10	0.197355126483153	0.19307713355344	0.206137789520997	0.202798931263387	0	0	0	0.609082275373992	0	10.5923941419408	0
2003-01-11	0.192569224414644	0.192396332565164	0.206224843593684	0.202769366167486	0	0	0	0	0	6.08022723344659	0
2003-01-12	0.187158081618234	0.191883704037683	0.206576971098675	0.202738409116864	0	0	0	0	0	16.3940737571831	0
2003-01-13	0.180141935169429	0.190607308018422	0.206672740560263	0.202701798081398	0	0	0	0	0	13.3468803601519	0
2003-01-14	0.174736525111201	0.188965625957758	0.206484362124829	0.202667208351195	0	0	0	0	0	10.6588499619268	0
2003-01-15	0.170193490386733	0.187459906394888	0.206366930609674	0.202631422430277	3.36777028762743	0	0	0.605057077477279	0	7.30456556360016	0
2003-01-16	0.167786215865058	0.1857338158223	0.205924904010094	0.202595401518047	0.703991808631179	0	0	1.98367491909636	0	16.1941008771812	0
2003-01-17	0.166410550774237	0.184055657986696	0.205286152607464	0.202559353299439	1.31315444767009	0	0	0.236455777380026	0	16.0385580659224	0
2003-01-18	0.165863280978355	0.183276243986899	0.205223370631721	0.20252146627754	0	0	0	2.44679294042589	0	34.5542964419091	0
2003-01-19	0.164675851889471	0.182200379687563	0.205112655151927	0.202482810094953	0	0	0	2.29725120087667	0	33.289937320004	0
2003-01-20	0.172943131074399	0.181559116020218	0.204808099000477	0.202448164448142	0	12.4681808255643	0	9.05253265869595	0	76.3616584933302	0
2003-01-21	0.185003456724462	0.182622151015407	0.204692501861894	0.202422415465117	0	4.93948981554883	0	2.20151577695967	0	48.15076620956	0
2003-01-22	0.18611204689406	0.183851830302086	0.204608640005917	0.202392623871565	0	6.10497895268551	0	4.49270960622212	0	39.2039482833001	0
2003-01-23	0.181239924054748	0.184342882031912	0.204825728560897	0.202352860867977	0	0	0	0.661771409586694	0	9.49223750731269	0
2003-01-24	0.181931230452715	0.184307605144204	0.204812593105282	0.202311622686684	0	0	0	0.496552082338516	0	11.5764724303727	0
2003-01-25	0.19953824592075	0.186853416147155	0.204434644548328	0.202284097261727	0	1.14808674808484	0	2.58033018585929	0	12.7202453014356	0
2003-01-26	0.207736420107012	0.194537928774257	0.204359486086928	0.202265995740891	0	0.18588056032865	0	1.67415050824569	0	9.34518027123501	0
2003-01-27	0.204784998272272	0.198249698415602	0.20505375742164	0.202243262305856	0	0.395875742545261	0	6.38246582553713	0	7.33533452344063	0
2003-01-28	0.206096026603367	0.197251417720136	0.205312295278045	0.202215937264264	0	2.25079718967815	0	7.97300352909397	0	33.0193269480242	0
2003-01-29	0.217610747267219	0.201929119535894	0.205926934042745	0.202201466858387	29.2567160356038	25.0521972330723	0	17.0835926500388	0	78.3553254394852	0
